dataset_id,dataset_instance,dataset_version,schema_version,strata_1_name,strata_1_raw,strata_1_value,strata_2_name,strata_2_raw,strata_2_value,strata_id,var_name,var_name_raw
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",NO2MEAN,NO2_MEAN_L1AD
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",NO2MEAN,NO2_MEAN_L2
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",O3MEAN,O3_MEAN_L1AD
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",O3MEAN,O3_MEAN_L2
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",PM10MEAN,PM10_MEAN_L1AD
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",PM10MEAN,PM10_MEAN_L2
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",PM25MEAN,PM25_MEAN_L1AD
1_area_level_simple,1_area_level_simple_v1,v1,v2,"","","","","","","",PM25MEAN,PM25_MEAN_L2
